fips,population
1001.0,55601
1003.0,218022
1005.0,24881
1007.0,22400
1009.0,57840
1011.0,10138
1013.0,19680
1015.0,114277
1017.0,33615
1019.0,26032
1021.0,44153
1023.0,12841
1025.0,23920
1027.0,13275
1029.0,14987
1031.0,51909
1033.0,54762
1035.0,12277
1037.0,10715
1039.0,36986
1041.0,13824
1043.0,83442
1045.0,48956
1047.0,38310
1049.0,71385
1051.0,81887
1053.0,36748
1055.0,102501
1057.0,16433
1059.0,31363
1061.0,26314
1063.0,8233
1065.0,14726
1067.0,17209
1069.0,104722
1071.0,51736
1073.0,659300
1075.0,13844
1077.0,92387
1079.0,32957
1081.0,163941
1083.0,96174
1085.0,9974
1087.0,18439
1089.0,366519
1091.0,19066
1093.0,29763
1095.0,96109
1097.0,413757
1099.0,21067
1101.0,225763
1103.0,119089
1105.0,9140
1107.0,19938
1109.0,33338
1111.0,22725
1113.0,57781
1115.0,88690
1117.0,215707
1119.0,12691
1121.0,79828
1123.0,40497
1125.0,208911
1127.0,63711
1129.0,16378
1131.0,10627
1133.0,23660
2013.0,3515
2013.0,5723
2016.0,3515
2016.0,5723
2020.0,291538
2050.0,18216
2068.0,2059
2070.0,5000
2090.0,98971
2100.0,2474
2110.0,32113
2122.0,58533
2130.0,13918
2150.0,13345
2158.0,8303
2170.0,107610
2180.0,10008
2185.0,9872
2188.0,7671
2195.0,3221
2198.0,6422
2220.0,8647
2230.0,1148
2240.0,6918
2261.0,9164
2275.0,2503
2290.0,5327
2997.0,877
2998.0,604
4001.0,71818
4003.0,126770
4005.0,142854
4007.0,53889
4009.0,38072
4011.0,9483
4012.0,21098
4013.0,4410824
4015.0,209550
4017.0,110445
4019.0,1039073
4021.0,447138
4023.0,46511
4025.0,231993
4027.0,212128
5001.0,17769
5003.0,20046
5005.0,41619
5007.0,272608
5009.0,37480
5011.0,10897
5013.0,5277
5015.0,28223
5017.0,10438
5019.0,22061
5021.0,14847
5023.0,24965
5025.0,8018
5027.0,23537
5029.0,20891
5031.0,108558
5033.0,63406
5035.0,48342
5037.0,16676
5039.0,7182
5041.0,11512
5043.0,18328
5045.0,124806
5047.0,17810
5049.0,12269
5051.0,99154
5053.0,18188
5055.0,45325
5057.0,21741
5059.0,33701
5061.0,13341
5063.0,37678
5065.0,13593
5067.0,16811
5069.0,68114
5071.0,26742
5073.0,6682
5075.0,16434
5077.0,8985
5079.0,13383
5081.0,12326
5083.0,21737
5085.0,73657
5087.0,16481
5089.0,16722
5091.0,43592
5093.0,41239
5095.0,6900
5097.0,8924
5099.0,8326
5101.0,7805
5103.0,23606
5105.0,10352
5107.0,18029
5109.0,10673
5111.0,23974
5113.0,20049
5115.0,64000
5117.0,8074
5119.0,392680
5121.0,17948
5123.0,25439
5125.0,121421
5127.0,10319
5129.0,7958
5131.0,127753
5133.0,17139
5135.0,17366
5137.0,12457
5139.0,39126
5141.0,16603
5143.0,236961
5145.0,78727
