fips2,county2,ruc_code2,total_est_pct3
1000,Alabama,,"747,478"
1001,Autauga,2,"6,723"
1003,Baldwin,3,"22,360"
1005,Barbour,6,"5,909"
1007,Bibb,1,"4,101"
1009,Blount,1,"9,324"
1011,Bullock,6,"2,537"
1013,Butler,6,"4,124"
1015,Calhoun,3,"18,988"
1017,Chambers,6,"6,415"
1019,Cherokee,6,"4,121"
1021,Chilton,1,"7,044"
1023,Choctaw,9,"2,811"
1025,Clarke,7,"4,281"
1027,Clay,9,"2,156"
1029,Cleburne,8,"1,945"
1031,Coffee,4,"7,734"
1033,Colbert,3,"7,998"
1035,Conecuh,7,"2,662"
1037,Coosa,8,"1,789"
1039,Covington,6,"6,269"
1041,Crenshaw,8,"2,289"
1043,Cullman,4,"10,088"
1045,Dale,4,"8,727"
1047,Dallas,4,"9,533"
1049,DeKalb,6,"12,848"
1051,Elmore,2,"8,753"
1053,Escambia,6,"6,980"
1055,Etowah,3,"18,801"
1057,Fayette,6,"2,721"
1059,Franklin,6,"4,989"
1061,Geneva,3,"4,180"
1063,Greene,8,"2,553"
1065,Hale,3,"2,956"
1067,Henry,3,"2,919"
1069,Houston,3,"20,207"
1071,Jackson,6,"7,481"
1073,Jefferson,1,"104,288"
1075,Lamar,8,"2,070"
1077,Lauderdale,3,"14,193"
1079,Lawrence,3,"5,773"
1081,Lee,3,"24,731"
1083,Limestone,2,"11,535"
1085,Lowndes,2,"2,555"
1087,Macon,6,"4,817"
1089,Madison,2,"41,789"
1091,Marengo,7,"4,601"
1093,Marion,7,"4,883"
1095,Marshall,4,"14,989"
1097,Mobile,2,"71,784"
1099,Monroe,7,"4,770"
1101,Montgomery,2,"34,268"
1103,Morgan,3,"16,146"
1105,Perry,8,"2,778"
1107,Pickens,3,"4,380"
1109,Pike,6,"6,742"
1111,Randolph,6,"3,906"
1113,Russell,2,"10,823"
1115,St. Clair,1,"9,780"
1117,Shelby,1,"13,428"
1119,Sumter,8,"4,195"
1121,Talladega,4,"13,326"
1123,Tallapoosa,6,"6,341"
1125,Tuscaloosa,3,"32,226"
1127,Walker,1,"10,837"
1129,Washington,8,"2,998"
1131,Wilcox,9,"3,329"
1133,Winston,6,"3,882"
2000,Alaska,,"73,033"
2013,Aleutians East,9,492
2016,Aleutians West,9,414
2020,Anchorage,2,"26,636"
2050,Bethel,7,"4,249"
2060,Bristol Bay,9,80
2068,Denali,8,132
2070,Dillingham,9,883
2090,Fairbanks North Star,3,"6,656"
2100,Haines,9,247
2105,Alaska,9,336
2110,Juneau,5,"1,951"
2122,Kenai Peninsula,7,"5,966"
2130,Ketchikan Gateway,7,"1,283"
2150,Kodiak Island,7,909
2158,Kusilvak,9,"2,217"
2164,Lake and Peninsula,9,275
2170,Matanuska-Susitna,2,"10,142"
2180,Nome,7,"2,033"
2185,North Slope,7,"1,109"
2188,Northwest Arctic,7,"1,805"
2195,Alaska,9,219
2198,Alaska,9,"1,085"
2220,Sitka,7,672
2230,Alaska,9,47
2240,Southeast Fairbanks,9,823
2261,Valdez-Cordova,9,781
2275,Alaska,9,240
2282,Yakutat,9,85
2290,Yukon-Koyukuk,9,"1,266"
4000,Arizona,,"963,007"
4001,Apache,6,"23,680"
4003,Cochise,3,"20,172"
4005,Coconino,3,"20,817"
4007,Gila,4,"11,219"
4009,Graham,7,"7,207"
4011,Greenlee,7,876
4012,La Paz,6,"4,593"
4013,Maricopa,1,"539,670"
4015,Mohave,3,"33,183"
4017,Navajo,4,"27,440"
4019,Pima,2,"142,859"
4021,Pinal,1,"52,975"
4023,Santa Cruz,4,"8,688"
4025,Yavapai,3,"27,845"
4027,Yuma,3,"41,782"
5000,Arkansas,,"468,575"
