STNAME,CTYNAME,POPESTIMATE2018,POPESTIMATE2019,INTERNATIONALMIG2018,DOMESTICMIG2018,NETMIG2018
Alabama,Alabama,4887681,4903185,3379,5279,8658
Alabama,Autauga County,55533,55869,-7,37,30
Alabama,Baldwin County,217855,223234,97,5224,5321
Alabama,Barbour County,24872,24686,12,-231,-219
Alabama,Bibb County,22367,22394,10,-164,-154
Alabama,Blount County,57771,57826,5,-9,-4
Alabama,Bullock County,10174,10101,13,-28,-15
Alabama,Butler County,19631,19448,17,-216,-199
Alabama,Calhoun County,114331,113605,103,-159,-56
Alabama,Chambers County,33600,33254,6,-57,-51
Alabama,Cherokee County,26014,26196,-3,338,335
Alabama,Chilton County,44163,44428,35,-5,30
Alabama,Choctaw County,12833,12589,-2,-49,-51
Alabama,Clarke County,23918,23622,-5,-133,-138
Alabama,Clay County,13294,13235,-2,-41,-43
Alabama,Cleburne County,15010,14910,-11,122,111
Alabama,Coffee County,51950,52342,51,-16,35
Alabama,Colbert County,55004,55241,75,327,402
Alabama,Conecuh County,12292,12067,1,-102,-101
Alabama,Coosa County,10643,10663,15,-72,-57
Alabama,Covington County,36953,37049,-5,23,18
Alabama,Crenshaw County,13825,13772,3,5,8
Alabama,Cullman County,83418,83768,34,623,657
Alabama,Dale County,49143,49172,19,-338,-319
Alabama,Dallas County,38294,37196,5,-854,-849
Alabama,DeKalb County,71407,71513,53,-58,-5
Alabama,Elmore County,81011,81209,21,-504,-483
Alabama,Escambia County,36524,36633,-1,-418,-419
Alabama,Etowah County,102611,102268,37,-154,-117
Alabama,Fayette County,16445,16302,5,16,21
Alabama,Franklin County,31298,31362,28,-336,-308
Alabama,Geneva County,26306,26271,-7,-4,-11
Alabama,Greene County,8209,8111,0,-86,-86
Alabama,Hale County,14749,14651,-3,-61,-64
Alabama,Henry County,17173,17205,-1,104,103
Alabama,Houston County,104770,105882,23,224,247
Alabama,Jackson County,51621,51626,-7,-69,-76
Alabama,Jefferson County,659429,658573,453,-1827,-1374
Alabama,Lamar County,13882,13805,-1,4,3
Alabama,Lauderdale County,92604,92729,35,214,249
Alabama,Lawrence County,32941,32924,-3,-61,-64
Alabama,Lee County,163656,164542,283,1159,1442
Alabama,Limestone County,96177,98915,62,1855,1917
Alabama,Lowndes County,9974,9726,-1,-109,-110
Alabama,Macon County,18321,18068,1,-428,-427
Alabama,Madison County,367004,372909,450,3817,4267
Alabama,Marengo County,19056,18863,8,-256,-248
Alabama,Marion County,29750,29709,3,94,97
Alabama,Marshall County,96170,96774,65,229,294
Alabama,Mobile County,413908,413210,440,-1677,-1237
Alabama,Monroe County,21062,20733,-2,-155,-157
Alabama,Montgomery County,226504,226486,302,-2092,-1790
Alabama,Morgan County,119203,119679,148,130,278
Alabama,Perry County,9070,8923,1,-230,-229
Alabama,Pickens County,19980,19930,14,-241,-227
Alabama,Pike County,33242,33114,75,-230,-155
Alabama,Randolph County,22727,22722,-6,101,95
Alabama,Russell County,57784,57961,-58,683,625
Alabama,St. Clair County,88654,89512,23,642,665
Alabama,Shelby County,215583,217702,173,1037,1210
Alabama,Sumter County,12634,12427,27,-128,-101
Alabama,Talladega County,80137,79978,38,160,198
Alabama,Tallapoosa County,40535,40367,2,44,46
Alabama,Tuscaloosa County,208319,209355,220,-159,61
Alabama,Walker County,63669,63521,-3,32,29
Alabama,Washington County,16402,16326,14,-140,-126
Alabama,Wilcox County,10599,10373,0,-81,-81
Alabama,Winston County,23693,23629,2,13,15
Alaska,Alaska,735139,731545,537,-10757,-10220
Alaska,Aleutians East Borough,3395,3337,45,-116,-71
Alaska,Aleutians West Census Area,5640,5634,52,-169,-117
Alaska,Anchorage Municipality,290521,288000,290,-6344,-6054
Alaska,Bethel Census Area,18219,18386,2,-135,-133
Alaska,Bristol Bay Borough,880,836,1,9,10
Alaska,Denali Borough,2032,2097,8,-60,-52
Alaska,Dillingham Census Area,4991,4916,1,2,3
Alaska,Fairbanks North Star Borough,98565,96849,-23,-2166,-2189
Alaska,Haines Borough,2488,2530,-1,-51,-52
Alaska,Hoonah-Angoon Census Area,2155,2148,4,9,13
Alaska,Juneau City and Borough,32037,31974,19,-219,-200
Alaska,Kenai Peninsula Borough,58561,58708,19,-208,-189
Alaska,Ketchikan Gateway Borough,13856,13901,24,-75,-51
Alaska,Kodiak Island Borough,13250,12998,11,-399,-388
Alaska,Kusilvak Census Area,8323,8314,7,-82,-75
Alaska,Lake and Peninsula Borough,1596,1592,3,-48,-45
Alaska,Matanuska-Susitna Borough,107115,108317,17,149,166
Alaska,Nome Census Area,10053,10004,2,-62,-60
Alaska,North Slope Borough,9850,9832,1,-75,-74
Alaska,Northwest Arctic Borough,7694,7621,7,-195,-188
Alaska,Petersburg Borough,3244,3266,2,-33,-31
Alaska,Prince of Wales-Hyder Census Area,6360,6203,2,-87,-85
Alaska,Sitka City and Borough,8554,8493,18,-137,-119
Alaska,Skagway Municipality,1169,1183,0,-4,-4
Alaska,Southeast Fairbanks Census Area,6937,6893,23,-59,-36
Alaska,Valdez-Cordova Census Area,9161,9202,-4,-127,-131
Alaska,Wrangell City and Borough,2538,2502,5,6,11
Alaska,Yakutat City and Borough,596,579,1,-11,-10
Alaska,Yukon-Koyukuk Census Area,5359,5230,1,-70,-69
Arizona,Arizona,7158024,7278717,7937,84113,92050
Arizona,Apache County,71731,71887,40,-56,-16
Arizona,Cochise County,126411,125922,96,1483,1579
Arizona,Coconino County,142523,143476,24,890,914
Arizona,Gila County,53801,54018,7,456,463
Arizona,Graham County,37995,38837,32,302,334
Arizona,Greenlee County,9448,9498,7,-97,-90
Arizona,La Paz County,21039,21108,64,387,451
Arizona,Maricopa County,4402403,4485414,5676,49531,55207
Arizona,Mohave County,209292,212181,-248,4072,3824
Arizona,Navajo County,110242,110924,42,813,855
Arizona,Pima County,1036554,1047279,1226,8026,9252
Arizona,Pinal County,446806,462789,492,13468,13960
Arizona,Santa Cruz County,46395,46498,52,-551,-499
Arizona,Yavapai County,231772,235099,-65,5154,5089
Arizona,Yuma County,211612,213787,492,235,727
Arkansas,Arkansas,3009733,3017804,588,2294,2882
Arkansas,Arkansas County,17726,17486,3,-141,-138
Arkansas,Ashley County,20012,19657,-4,-250,-254
Arkansas,Baxter County,41624,41932,-1,644,643
Arkansas,Benton County,272266,279141,176,3658,3834
Arkansas,Boone County,37385,37432,-11,-29,-40
Arkansas,Bradley County,10838,10763,-5,53,48
Arkansas,Calhoun County,5227,5189,-1,47,46
Arkansas,Carroll County,28097,28380,24,204,228
Arkansas,Chicot County,10442,10118,-2,-165,-167
Arkansas,Clark County,22313,22320,2,122,124
Arkansas,Clay County,14763,14551,0,-48,-48
Arkansas,Cleburne County,24994,24919,-7,93,86
Arkansas,Cleveland County,7995,7956,-1,-162,-163
Arkansas,Columbia County,23586,23457,9,-64,-55
Arkansas,Conway County,20825,20846,-1,34,33
Arkansas,Craighead County,108816,110332,46,1081,1127
Arkansas,Crawford County,63379,63257,21,370,391
Arkansas,Crittenden County,48363,47955,-7,-526,-533
Arkansas,Cross County,16630,16419,2,-182,-180
Arkansas,Dallas County,7152,7009,-2,-164,-166
Arkansas,Desha County,11507,11361,-2,-201,-203
Arkansas,Drew County,18328,18219,-5,-68,-73
Arkansas,Faulkner County,125138,126007,40,951,991
Arkansas,Franklin County,17764,17715,9,-49,-40
Arkansas,Fulton County,12308,12477,5,259,264
Arkansas,Garland County,98966,99386,-27,971,944
Arkansas,Grant County,18180,18265,-6,101,95
Arkansas,Greene County,45339,45325,-7,291,284
Arkansas,Hempstead County,21685,21532,-14,-213,-227
Arkansas,Hot Spring County,33672,33771,-1,124,123
Arkansas,Howard County,13302,13202,-2,-47,-49
Arkansas,Independence County,37768,37825,-7,244,237
Arkansas,Izard County,13582,13629,2,-8,-6
Arkansas,Jackson County,16753,16719,-2,-240,-242
Arkansas,Jefferson County,68067,66824,6,-1163,-1157
Arkansas,Johnson County,26659,26578,-4,185,181
Arkansas,Lafayette County,6679,6624,-1,-109,-110
Arkansas,Lawrence County,16432,16406,-3,-83,-86
