fips,County,State,Total_Confirmed,Total_Deaths
53061.0,Snohomish,Washington,12303689.0,209650.0
53063.0,Spokane,Washington,13647029.0,204707.0
53033.0,King,Washington,33683315.0,602295.0
53071.0,Walla Walla,Washington,1694007.0,19681.0
53007.0,Chelan,Washington,2317916.0,22076.0
53011.0,Clark,Washington,7298890.0,87707.0
53031.0,Jefferson,Washington,139454.0,983.0
53053.0,Pierce,Washington,16011265.0,211836.0
53037.0,Kittitas,Washington,919583.0,12597.0
53035.0,Kitsap,Washington,2444391.0,31518.0
53057.0,Skagit,Washington,1794987.0,24339.0
53073.0,Whatcom,Washington,2681774.0,37977.0
53029.0,Island,Washington,573092.0,11539.0
53067.0,Thurston,Washington,3000115.0,32591.0
53013.0,Columbia,Washington,42714.0,1611.0
53027.0,Grays Harbor,Washington,1242484.0,19026.0
53077.0,Yakima,Washington,10895450.0,172811.0
53025.0,Grant,Washington,3371868.0,37653.0
53039.0,Klickitat,Washington,263363.0,3363.0
53041.0,Lewis,Washington,1437362.0,19551.0
53043.0,Lincoln,Washington,164906.0,2623.0
53021.0,Franklin,Washington,4360796.0,43098.0
53045.0,Mason,Washington,847569.0,9585.0
53005.0,Benton,Washington,5890983.0,88606.0
53009.0,Clallam,Washington,450183.0,3520.0
53015.0,Cowlitz,Washington,1804676.0,24466.0
53055.0,San Juan,Washington,53827.0,0.0
53065.0,Stevens,Washington,647142.0,8667.0
53075.0,Whitman,Washington,1328257.0,14314.0
53001.0,Adams,Washington,738677.0,7581.0
53017.0,Douglas,Washington,1261030.0,7941.0
53019.0,Ferry,Washington,97781.0,1708.0
53047.0,Okanogan,Washington,893724.0,13072.0
53059.0,Skamania,Washington,107250.0,499.0
53051.0,Pend Oreille,Washington,230644.0,2268.0
53003.0,Asotin,Washington,453309.0,9091.0
53069.0,Wahkiakum,Washington,37612.0,338.0
53049.0,Pacific,Washington,279837.0,3823.0
53023.0,Garfield,Washington,39131.0,1371.0
17031.0,Cook,Illinois,180850029.0,4089460.0
17089.0,Kane,Illinois,18816407.0,297877.0
17111.0,McHenry,Illinois,8812863.0,111052.0
17097.0,Lake,Illinois,22126465.0,396704.0
17035.0,Cumberland,Illinois,404756.0,9615.0
17043.0,DuPage,Illinois,28457520.0,499197.0
17167.0,Sangamon,Illinois,5816559.0,87472.0
17163.0,St. Clair,Illinois,9979347.0,189370.0
17203.0,Woodford,Illinois,1344983.0,25626.0
17027.0,Clinton,Illinois,1867343.0,33390.0
17195.0,Whiteside,Illinois,2144552.0,64696.0
17201.0,Winnebago,Illinois,10548369.0,173773.0
17143.0,Peoria,Illinois,6556324.0,102223.0
17197.0,Will,Illinois,23714734.0,380169.0
17077.0,Jackson,Illinois,1695733.0,26222.0
17091.0,Kankakee,Illinois,4572552.0,76665.0
17093.0,Kendall,Illinois,4112466.0,34610.0
17099.0,LaSalle,Illinois,3757175.0,92936.0
17119.0,Madison,Illinois,9613180.0,186940.0
17189.0,Washington,Illinois,511222.0,8640.0
17199.0,Williamson,Illinois,2417155.0,46157.0
17001.0,Adams,Illinois,2797466.0,44172.0
17021.0,Christian,Illinois,1152157.0,28490.0
17113.0,McLean,Illinois,5407909.0,63115.0
17037.0,DeKalb,Illinois,3091014.0,40204.0
17019.0,Champaign,Illinois,6513265.0,46881.0
17085.0,Jo Daviess,Illinois,564320.0,8478.0
17105.0,Livingston,Illinois,1413450.0,28158.0
17161.0,Rock Island,Illinois,4762575.0,113216.0
17177.0,Stephenson,Illinois,1437507.0,29427.0
17133.0,Monroe,Illinois,1353392.0,29648.0
17063.0,Grundy,Illinois,1761476.0,22270.0
17041.0,Douglas,Illinois,798787.0,12269.0
17123.0,Marshall,Illinois,302188.0,5555.0
17137.0,Morgan,Illinois,1270968.0,33210.0
17055.0,Franklin,Illinois,1431185.0,24938.0
17179.0,Tazewell,Illinois,4851084.0,92647.0
17011.0,Bureau,Illinois,1150510.0,28857.0
17073.0,Henry,Illinois,1523036.0,26698.0
17075.0,Iroquois,Illinois,969242.0,21752.0
17015.0,Carroll,Illinois,560954.0,12028.0
17051.0,Fayette,Illinois,1003505.0,18466.0
17115.0,Macon,Illinois,3416177.0,69299.0
17005.0,Bond,Illinois,637386.0,9055.0
17095.0,Knox,Illinois,1706117.0,51331.0
17129.0,Menard,Illinois,361818.0,4026.0
17135.0,Montgomery,Illinois,1107938.0,22050.0
17023.0,Clark,Illinois,556181.0,12279.0
17033.0,Crawford,Illinois,683825.0,12063.0
17121.0,Marion,Illinois,1455767.0,37021.0
17157.0,Randolph,Illinois,1381199.0,26774.0
17165.0,Saline,Illinois,806142.0,20264.0
17053.0,Ford,Illinois,538823.0,17064.0
17141.0,Ogle,Illinois,1825470.0,26332.0
17127.0,Massac,Illinois,412583.0,11607.0
17183.0,Vermilion,Illinois,2913031.0,44252.0
17107.0,Logan,Illinois,1162631.0,20828.0
17117.0,Macoupin,Illinois,1460635.0,32836.0
17131.0,Mercer,Illinois,447097.0,10090.0
17139.0,Moultrie,Illinois,511177.0,10168.0
17147.0,Piatt,Illinois,455151.0,5529.0
17039.0,De Witt,Illinois,445741.0,9891.0
17049.0,Effingham,Illinois,1511120.0,23960.0
17083.0,Jersey,Illinois,828594.0,20808.0
17079.0,Jasper,Illinois,373338.0,7285.0
17103.0,Lee,Illinois,1207154.0,25997.0
17125.0,Mason,Illinois,458416.0,13602.0
17149.0,Pike,Illinois,575941.0,16212.0
17007.0,Boone,Illinois,2134107.0,29688.0
17013.0,Calhoun,Illinois,158464.0,1372.0
17059.0,Gallatin,Illinois,150513.0,1693.0
17081.0,Jefferson,Illinois,1360795.0,40656.0
17185.0,Wabash,Illinois,432497.0,4779.0
17029.0,Coles,Illinois,1851238.0,33696.0
17101.0,Lawrence,Illinois,737374.0,10397.0
17159.0,Richland,Illinois,548393.0,15208.0
17173.0,Shelby,Illinois,735418.0,12781.0
17067.0,Hancock,Illinois,567691.0,11984.0
17175.0,Stark,Illinois,186372.0,6880.0
17153.0,Pulaski,Illinois,238989.0,2033.0
17169.0,Schuyler,Illinois,227987.0,5086.0
17057.0,Fulton,Illinois,1094447.0,17386.0
17061.0,Greene,Illinois,465966.0,14813.0
17109.0,McDonough,Illinois,878255.0,20432.0
17145.0,Perry,Illinois,970131.0,21364.0
17187.0,Warren,Illinois,590604.0,14947.0
17087.0,Johnson,Illinois,462127.0,5988.0
17025.0,Clay,Illinois,485213.0,14199.0
17181.0,Union,Illinois,764110.0,16549.0
17003.0,Alexander,Illinois,153252.0,2977.0
17071.0,Henderson,Illinois,164787.0,5976.0
17191.0,Wayne,Illinois,575850.0,16359.0
17065.0,Hamilton,Illinois,263307.0,5312.0
17017.0,Cass,Illinois,646523.0,11725.0
17193.0,White,Illinois,526690.0,10286.0
17069.0,Hardin,Illinois,116235.0,3241.0
17009.0,Brown,Illinois,223724.0,3563.0
17151.0,Pope,Illinois,96142.0,1078.0
17047.0,Edwards,Illinois,182188.0,3529.0
17155.0,Putnam,Illinois,141170.0,1033.0
17045.0,Edgar,Illinois,525620.0,17555.0
17171.0,Scott,Illinois,153111.0,393.0
6059.0,Orange,California,84170153.0,1448767.0
6037.0,Los Angeles,California,391799790.0,7376317.0
6085.0,Santa Clara,California,36069877.0,573454.0
6075.0,San Francisco,California,12484640.0,155063.0
6073.0,San Diego,California,86831710.0,1099957.0
6023.0,Humboldt,California,1292436.0,13691.0
6067.0,Sacramento,California,33346791.0,514736.0
6095.0,Solano,California,10287233.0,73230.0
6041.0,Marin,California,5016814.0,78132.0
6055.0,Napa,California,3005821.0,22994.0
6097.0,Sonoma,California,9731421.0,103597.0
6001.0,Alameda,California,28133293.0,420475.0
6061.0,Placer,California,7211147.0,83312.0
6081.0,San Mateo,California,13315695.0,176309.0
6013.0,Contra Costa,California,22117773.0,241840.0
6113.0,Yolo,California,4393766.0,65893.0
6019.0,Fresno,California,33308231.0,487975.0
6039.0,Madera,California,5323882.0,72476.0
6065.0,Riverside,California,93513434.0,1366596.0
6087.0,Santa Cruz,California,4831558.0,55497.0
6089.0,Shasta,California,3897463.0,61759.0
6077.0,San Joaquin,California,23677474.0,420187.0
6111.0,Ventura,California,24363115.0,276289.0
