fips,State,County,Percent Uninsured,Total_Confirmed
1001.0,Alabama,Autauga,9%,2252322.0
1003.0,Alabama,Baldwin,9%,7254725.0
1005.0,Alabama,Barbour,12%,809280.0
1007.0,Alabama,Bibb,16%,879672.0
1009.0,Alabama,Blount,13%,2192385.0
1011.0,Alabama,Bullock,12%,448170.0
1013.0,Alabama,Butler,14%,800171.0
1015.0,Alabama,Calhoun,12%,4673663.0
1017.0,Alabama,Chambers,12%,1266404.0
1019.0,Alabama,Cherokee,15%,639747.0
1021.0,Alabama,Chilton,12%,1472485.0
1023.0,Alabama,Choctaw,14%,236153.0
1025.0,Alabama,Clarke,14%,1179364.0
1027.0,Alabama,Clay,15%,534756.0
1029.0,Alabama,Cleburne,15%,490649.0
1031.0,Alabama,Coffee,14%,1878813.0
1033.0,Alabama,Colbert,10%,2110504.0
1035.0,Alabama,Conecuh,14%,417736.0
1037.0,Alabama,Coosa,12%,324652.0
1039.0,Alabama,Covington,14%,1454985.0
1041.0,Alabama,Crenshaw,14%,527350.0
1043.0,Alabama,Cullman,11%,3176257.0
1045.0,Alabama,Dale,15%,1700925.0
1047.0,Alabama,Dallas,16%,1323140.0
1049.0,Alabama,DeKalb,13%,3034576.0
1051.0,Alabama,Elmore,9%,3328200.0
1053.0,Alabama,Escambia,14%,1417016.0
1055.0,Alabama,Etowah,18%,4596110.0
1057.0,Alabama,Fayette,17%,676913.0
1059.0,Alabama,Franklin,10%,1546914.0
1061.0,Alabama,Geneva,15%,857627.0
1063.0,Alabama,Greene,16%,320784.0
1065.0,Alabama,Hale,16%,744019.0
1067.0,Alabama,Henry,15%,647706.0
1069.0,Alabama,Houston,15%,3613735.0
1071.0,Alabama,Jackson,13%,2258545.0
1073.0,Alabama,Jefferson,12%,25678796.0
1075.0,Alabama,Lamar,17%,470419.0
1077.0,Alabama,Lauderdale,10%,3031243.0
1079.0,Alabama,Lawrence,12%,972903.0
1081.0,Alabama,Lee,5%,5419297.0
1083.0,Alabama,Limestone,11%,3246373.0
1085.0,Alabama,Lowndes,9%,514319.0
1087.0,Alabama,Macon,12%,529903.0
1089.0,Alabama,Madison,10%,11196257.0
1091.0,Alabama,Marengo,16%,847993.0
1093.0,Alabama,Marion,16%,1058969.0
1095.0,Alabama,Marshall,9%,4244352.0
1097.0,Alabama,Mobile,12%,14438597.0
1099.0,Alabama,Monroe,14%,631734.0
